Open cheatsheet | <leader>?

# ISwap
Swap parameters | cp
Swap current parameter | cP

# Telescope
Find files | <leader>ff
File explorer | <leader>fe
Live grep | <leader>fg
Show buffers | <leader>fb
Search manpages | <leader>fm
Search help tags | <leader>fh
Search projects | <leader>fp
LSP references | <leader>fr
LSP document symbols | <leader>fs
LSP workspace symbols | <leader>fw

# Trouble
Diagnostics | <leader>xx
LSP workspace diagnostics | <leader>xw
LSP document diagnostics | <leader>xd
Quickfix diagnostics | <leader>xq
Loclist diagnostics | <leader>xl

# LSP
Goto declaration | gD
Goto definition | gd
Hover | K
Goto implimentation | gi
Signature help | <C-k>
Workspace add folder | <leader>wa
Workspace remove folder | <leader>wr
List workspaces | <leader>wl
Type definition | <leader>D
Rename | <leader>rn
Code action | <leader>ca
Show line diagnostics | <leader>e
Next diagnostic | [d
Previous diagnostic | d]
Set loclist | <leader>q
Buffer formatting | <leader>bf
